depth,l1,l2,Mode,Frequency,Max_Deflection,Average_Deflection
1.0,90,290,3.0,283.94,17.518,9.6946
1.0,90,290,4.0,322.7,28.335,10.802
1.0,90,290,5.0,469.77,17.727999999999998,9.7362
1.0,90,290,6.0,489.25,17.729,9.1319
1.0,20,410,1.0,52.523,18.045,8.7379
1.0,20,410,2.0,144.58,17.271,8.6515
1.0,20,410,3.0,283.13,17.515,8.6113
1.0,20,410,4.0,322.49,28.334,10.355
1.0,20,410,5.0,467.53,17.687,9.3047
1.0,20,410,6.0,489.03,17.73,8.9233
1.0,50,550,1.0,52.75899999999999,18.057000000000002,9.3148
1.0,50,550,2.0,145.2,17.285,8.3921
1.0,50,550,3.0,284.65,17.499000000000002,9.5193
1.0,50,550,4.0,322.86,28.343000000000004,10.967
1.0,50,550,5.0,470.12,17.7,9.363999999999999
1.0,50,550,6.0,489.24,17.73,9.5059
1.0,110,600,1.0,52.626000000000005,18.054000000000002,9.1228
1.0,110,600,2.0,144.96,17.279,9.2876
1.0,110,600,3.0,284.01,17.495,9.4201
1.0,110,600,4.0,322.59,28.334,10.965
1.0,110,600,5.0,469.35,17.689,10.619000000000002
1.0,110,600,6.0,489.2,17.729,9.3463
1.0,90,760,1.0,52.658,18.057000000000002,8.6611
1.0,90,760,2.0,145.07,17.287,9.5695
1.0,90,760,3.0,284.08,17.508,9.9664
1.0,90,760,4.0,322.73,28.338,10.63
1.0,90,760,5.0,469.29,17.7,9.8519
1.0,90,760,6.0,489.25,17.729,8.9214
1.0,20,830,1.0,52.523999999999994,18.043,7.8229999999999995
1.0,20,830,2.0,144.58,17.293,8.5393
1.0,20,830,3.0,283.06,17.482,9.0624
1.0,20,830,4.0,322.33,28.316999999999997,9.6161
1.0,20,830,5.0,467.47,17.695,9.347000000000001
1.0,20,830,6.0,489.06,17.726,8.0775
1.0,90,990,1.0,52.542,18.043,8.0084
1.0,90,990,2.0,144.64,17.28,8.4518
1.0,90,990,3.0,283.3,17.487000000000002,8.7717
1.0,90,990,4.0,322.29,28.318,9.7477
1.0,90,990,5.0,468.03,17.689,9.0749
1.0,90,990,6.0,489.07,17.727,8.2441
1.0,220,330,1.0,52.655,18.055,9.4516
1.0,220,330,2.0,144.88,17.294,10.436
1.0,220,330,3.0,283.97,17.487000000000002,9.8678
1.0,220,330,4.0,322.73,28.36,11.392999999999999
1.0,220,330,5.0,468.93,17.68,10.127
1.0,220,330,6.0,489.27,17.729,9.6678
1.0,220,370,1.0,52.662,18.057000000000002,9.5537
1.0,220,370,2.0,144.98,17.285,10.309000000000001
1.0,220,370,3.0,284.04,17.486,9.6407
1.0,220,370,4.0,322.81,28.35,11.472000000000001
1.0,220,370,5.0,468.95,17.679000000000002,10.562000000000001
1.0,220,370,6.0,489.28,17.729,9.7636
1.0,200,550,1.0,52.713,18.054000000000002,10.112
1.0,200,550,2.0,145.08,17.279,9.3204
1.0,200,550,3.0,284.37,17.521,10.532
1.0,200,550,4.0,322.79,28.344,11.869000000000002
1.0,200,550,5.0,469.7,17.702,10.142999999999999
1.0,200,550,6.0,489.29,17.730999999999998,10.279000000000002
1.0,150,670,1.0,52.742,18.052,9.389
1.0,150,670,2.0,145.13,17.295,10.197000000000001
1.0,150,670,3.0,284.55,17.52,9.7318
1.0,150,670,4.0,322.79,28.355999999999998,11.325
1.0,150,670,5.0,469.53,17.782,10.482999999999999
1.0,150,670,6.0,489.28,17.729,9.6115
1.0,170,760,1.0,52.676,18.055999999999997,8.7624
1.0,170,760,2.0,145.03,17.287,9.9692
1.0,170,760,3.0,283.91,17.506,10.539000000000001
1.0,170,760,4.0,322.74,28.342,10.800999999999998
1.0,170,760,5.0,468.99,17.679000000000002,10.352
1.0,170,760,6.0,489.28,17.729,9.0245
1.0,170,890,1.0,52.621,18.049,7.9571
1.0,170,890,2.0,144.86,17.303,9.2156
1.0,170,890,3.0,284.1,17.477,10.222999999999999
1.0,170,890,4.0,322.51,28.337,10.03
1.0,170,890,5.0,469.28,17.674,10.852
1.0,170,890,6.0,489.19,17.727999999999998,8.2629
1.0,210,990,1.0,52.556999999999995,18.045,8.2534
1.0,210,990,2.0,144.76,17.292,9.1804
