Index,Mode,Frequency,Max_Deflection,Average_Deflection
58.0,1.0,52.642,18.061,10.084
58.0,2.0,145.0,17.288,10.254
58.0,3.0,283.81,17.489,9.8277
58.0,4.0,322.81,28.353,11.897
58.0,5.0,468.94,17.707,9.7098
58.0,6.0,489.24,17.73,10.258
59.0,1.0,52.718,18.062,9.7073
59.0,2.0,145.28,17.292,10.017
59.0,3.0,284.24,17.485,9.9166
59.0,4.0,322.83,28.345,11.582
59.0,5.0,470.27,17.706,10.681
59.0,6.0,489.3,17.73,9.905
60.0,1.0,52.66,18.06,9.7262
60.0,2.0,144.96,17.292,8.8449
60.0,3.0,283.78,17.474,10.608
60.0,4.0,322.74,28.339,11.538
60.0,5.0,469.15,17.691,9.7046
60.0,6.0,489.23,17.733,9.9141
61.0,1.0,52.583,18.043,9.2686
61.0,2.0,144.7,17.277,8.5498
61.0,3.0,283.48,17.495,9.2698
61.0,4.0,322.44,28.326,10.868
61.0,5.0,468.17,17.681,9.3204
61.0,6.0,489.14,17.729,9.4328
62.0,1.0,52.71,18.058,10.58
62.0,2.0,145.07,17.318,9.8369
62.0,3.0,283.97,17.507,9.7079
62.0,4.0,322.81,28.346,12.277
62.0,5.0,469.6,17.724,10.48
62.0,6.0,489.27,17.73,10.719
63.0,1.0,52.674,18.048,9.3527
63.0,2.0,144.95,17.295,9.904
63.0,3.0,284.07,17.514,10.754
63.0,4.0,322.77,28.339,11.306
63.0,5.0,468.41,17.674,10.498
63.0,6.0,489.25,17.73,9.5768
64.0,1.0,52.72,18.056,9.6013
64.0,2.0,145.09,17.305,9.1663
64.0,3.0,284.02,17.52,9.8075
64.0,4.0,322.75,28.339,11.375
64.0,5.0,470.19,17.7,10.319
64.0,6.0,489.2,17.73,9.7946
65.0,1.0,52.652,18.057,9.6725
65.0,2.0,144.92,17.292,8.3892
65.0,3.0,283.76,17.499,9.9466
65.0,4.0,322.64,28.337,11.336
65.0,5.0,468.81,17.705,9.087
65.0,6.0,489.12,17.73,9.8424
66.0,1.0,52.661,18.058,9.7097
66.0,2.0,145.02,17.287,11.114
66.0,3.0,283.89,17.481,9.9892
66.0,4.0,322.73,28.352,11.665
66.0,5.0,469.16,17.723,9.2088
66.0,6.0,489.28,17.728,9.9199
67.0,1.0,52.702,18.061,8.4726
67.0,2.0,145.25,17.301,9.5806
67.0,3.0,284.4,17.475,9.9808
67.0,4.0,322.79,28.346,10.484
67.0,5.0,469.84,17.692,9.8317
67.0,6.0,489.26,17.729,8.7523
68.0,1.0,52.726,18.063,8.6193
68.0,2.0,145.18,17.299,9.2364
68.0,3.0,284.17,17.489,8.916
68.0,4.0,322.77,28.346,10.447
68.0,5.0,469.74,17.708,9.3596
68.0,6.0,489.22,17.729,8.8637
69.0,1.0,52.62,18.053,7.8548
69.0,2.0,144.87,17.289,9.3821
69.0,3.0,283.66,17.495,10.622
69.0,4.0,322.51,28.332,10.01
69.0,5.0,468.24,17.7,11.264
69.0,6.0,489.2,17.729,8.1779
70.0,1.0,52.557,18.043,8.2855
70.0,2.0,144.67,17.283,9.293
70.0,3.0,283.79,17.51,10.263
70.0,4.0,322.55,28.335,10.245
70.0,5.0,468.84,17.647,10.259
70.0,6.0,489.04,17.73,8.5481
71.0,1.0,52.281,18.029,8.0075
71.0,2.0,144.01,17.271,8.5783
71.0,3.0,282.02,17.495,9.059
71.0,4.0,321.77,28.314,9.7952
71.0,5.0,465.35,17.692,9.3928
71.0,6.0,488.09,17.73,8.2467
72.0,1.0,52.618,18.054,8.727
72.0,2.0,144.76,17.334,9.656
72.0,3.0,284.14,17.515,9.7491
72.0,4.0,322.38,28.345,10.699
72.0,5.0,469.32,17.764,10.123
72.0,6.0,489.04,17.73,8.9872
73.0,1.0,52.635,18.057,9.613
73.0,2.0,145.04,17.343,9.2576
73.0,3.0,284.12,17.555,9.8835
73.0,4.0,322.39,28.331,11.414
73.0,5.0,469.38,17.794,10.374
73.0,6.0,488.87,17.737,9.8077
74.0,1.0,52.38,18.068,9.3469
74.0,2.0,144.56,17.284,8.4971
74.0,3.0,283.0,17.488,9.8502
74.0,4.0,322.55,28.335,11.046
74.0,5.0,468.62,17.688,9.0044
74.0,6.0,488.42,17.745,9.5306
75.0,1.0,52.333,18.036,8.9309
75.0,2.0,144.14,17.272,9.2912
